;date;model;year;ram;memory;touchbar;m1;cpu;url;Vidělo:;Cena:
0;9.12. 2021;Pro;2017;8;128;;False;2.3;https://pc.bazos.cz/inzerat/145239557/macbook-pro-13-retina-2017-space-grey-8gb-128gb.php;120;15000
0;12.12. 2021;Pro;2017;;128;;False;;https://pc.bazos.cz/inzerat/145378740/macbook-pro-13-128-gb-verze-2017-bez-touchbaru.php;127;15000
0;13.12. 2021;Pro;2017;;;;False;;https://pc.bazos.cz/inzerat/145744760/macbook-12-2017.php;28;15000
0;15.12. 2021;Air;2017;8;256;;False;2.2;https://pc.bazos.cz/inzerat/145783493/apple-macbook-air-13-2017-cto-i7-256-gb-ssd-8-gb-ram.php;48;15490
0;14.12. 2021;Pro;2015;8;{'256', '1', '512'};;False;2.7;https://pc.bazos.cz/inzerat/145784404/apple-macbook-pro-retina-13-2015-480-gb-ssd.php;19;15500
0;4.12. 2021;Pro;2015;8;;;False;2.7;https://pc.bazos.cz/inzerat/145338386/apple-macbook-pro-retina-13-inch-early-2015.php;49;15500
0;5.12. 2021;Pro;2014;16;512;;False;2.8;https://pc.bazos.cz/inzerat/145380269/apple-macbook-pro-retina-15-mid-2014-28ghz-gt750-zaruka.php;43;15500
0;15.12. 2021;Pro;2016;8;{'256', '1', '512'};;False;;https://pc.bazos.cz/inzerat/145783289/apple-macbook-pro-13-2016-sg-cze.php;54;15790
0;14.12. 2021;Pro;2014;8;256;;False;2.6;https://pc.bazos.cz/inzerat/145774940/macbook-pro-13-retina-i5-2014-8gb-ram-256gb-ssd-zaruka.php;19;15800
0;15.12. 2021;Air;2017;8;{'256', '1', '128', '512'};;False;1.8;https://pc.bazos.cz/inzerat/145720543/13-apple-macbook-air-i5-18ghz-broadwell-model-2017-zaruka.php;50;15980
0;8.12. 2021;Pro;2017;8;128;;False;;https://pc.bazos.cz/inzerat/145510258/macbook-pro-13-2017-i58gb12890-baterie.php;35;15990
0;15.12. 2021;Pro;2017;8;256;;False;;https://pc.bazos.cz/inzerat/145770339/macbook-pro-133-2017-256gb-space-gray.php;52;15990
0;9.12. 2021;Pro;2013;16;1;;False;2.3;https://pc.bazos.cz/inzerat/145549671/apple-macbook-pro-retina-15-late-2013-2316gb1tb-zaruka.php;29;16000
0;12.12. 2021;Pro;2014;16;256;;False;2.5;https://pc.bazos.cz/inzerat/145689322/apple-macbook-pro-retina-15-mid-2014-gt750-25g-16g-zaruka.php;44;16000
0;14.12. 2021;Pro;;16;256;;False;3.5;https://pc.bazos.cz/inzerat/145759637/herni-pc.php;54;16000
0;13.12. 2021;Air;2020;8;256;;False;;https://pc.bazos.cz/inzerat/145736498/macbook-air-13-2020.php;52;16000
0;2.12. 2021;Pro;2019;;128;;False;;https://pc.bazos.cz/inzerat/145240905/apple-macbook-pro-2019.php;113;16490
0;15.12. 2021;Pro;2016;8;{'256', '1', '128', '512'};;False;;https://pc.bazos.cz/inzerat/145732315/apple-macbook-pro-13-2016-sg-komplet-bal.php;40;16490
0;2.12. 2021;Pro;2016;8;512;;False;{1.3, 3.1, 4.0};https://pc.bazos.cz/inzerat/145240970/apple-macbook-12-retina-display-12-inch-2016-space-grey.php;52;16500
0;12.12. 2021;Pro;2015;16;256;;False;;https://pc.bazos.cz/inzerat/145359255/apple-macbook-pro-13-2015-16gb-ram-256gb-ssd.php;89;16500
0;12.12. 2021;Pro;2017;;256;;False;;https://pc.bazos.cz/inzerat/145694962/macbook-pro-2017-retina-256gb.php;28;16500
0;15.12. 2021;Pro;2016;8;{'256', '1', '512'};;False;2.9;https://pc.bazos.cz/inzerat/145744552/apple-macbook-pro-13-2016-sg-29-8-gb-ram.php;46;16500
0;14.12. 2021;Pro;2014;16;256;;False;2.2;https://pc.bazos.cz/inzerat/145776479/macbook-pro-15-retinai72014-16gb-ram-256gb-ssd-zaruka.php;19;16800
0;14.12. 2021;Pro;2013;8;256;;False;2.4;https://pc.bazos.cz/inzerat/145776182/macbook-pro-15-retina-i7-2013-8gb-ram-256gb-ssd-zaruka.php;17;16800
0;14.12. 2021;Pro;2012;8;512;;False;2.9;https://pc.bazos.cz/inzerat/145775513/macbook-pro-13-retinai72012-8gb-ram-512gb-ssd-zaruka.php;28;16800
0;14.12. 2021;Air;2016;8;128;;False;1.6;https://pc.bazos.cz/inzerat/145774857/macbook-air-13-i5-rok-2016-8gb-ram-128gb-ssd-zaruka.php;19;16800
0;11.12. 2021;Pro;2015;16;256;;False;2.7;https://pc.bazos.cz/inzerat/145329831/apple-macbook-pro-13-2015-nova-baterie-zaruka-22-mesicu.php;74;16900
0;15.12. 2021;Pro;2017;8;256;;False;;https://pc.bazos.cz/inzerat/145691615/apple-macbook-12-12ghz-8gb-256gb-2017-zlaty.php;53;16900
0;14.12. 2021;Air;2018;;128;;False;;https://pc.bazos.cz/inzerat/145758786/macbook-air-13-retina-space-gray-2018.php;42;16990
0;3.12. 2021;Pro;2017;16;256;;False;;https://pc.bazos.cz/inzerat/145280669/macbook-pro-13-inch-2017-cto.php;49;16990
