;date;model;year;ram;memory;touchbar;m1;cpu;url;Vidělo:;Cena:
0;14.12. 2021;Pro;;16;256;;False;3.5;https://pc.bazos.cz/inzerat/145759637/herni-pc.php;119;15000
0;16.12. 2021;Pro;;16;1;;False;;https://pc.bazos.cz/inzerat/145865547/hp-zbook-17-g3-i7-6820-16gb-ram-256ssd-1tb-hdd-vga-4gb.php;36;16000
0;2.12. 2021;Pro;2019;;128;;False;;https://pc.bazos.cz/inzerat/145240905/apple-macbook-pro-2019.php;152;16490
0;17.12. 2021;Pro;{'2017', '2018', '2019', '2016'};8;256;;False;{2.0, 4.0};https://pc.bazos.cz/inzerat/145080850/13-apple-macbook-pro-i5-20ghz-retina-zaruka-256gb-spaceg.php;443;17980
0;3.12. 2021;Pro;{'2017', '2018', '2019', '2016'};8;256;;False;{2.0, 4.0};https://pc.bazos.cz/inzerat/144431239/13-apple-macbook-pro-i5-20ghz-retina-spaceg-zaruka-256gb.php;393;17980
0;17.12. 2021;Pro;{'2017', '2018', '2019', '2016'};8;256;;False;{2.0, 4.0};https://pc.bazos.cz/inzerat/145719231/13-apple-macbook-pro-i5-20ghz-retina-zaruka-spaceg-256gb.php;175;17980
0;16.12. 2021;Pro;;;128;;False;2.3;https://pc.bazos.cz/inzerat/145843779/macbook-pro-15-ssd-i-hdd.php;23;17990
0;11.12. 2021;Pro;{'2017', '2021'};8;256;;False;1.2;https://pc.bazos.cz/inzerat/145642521/macbook-12-posledni-model-256gb-hdd-nova-klavesnice.php;79;18000
0;4.12. 2021;Pro;2019;8;256;;False;1.4;https://pc.bazos.cz/inzerat/145298517/apple-macbook-pro-13-2019-i5-8gb-256gb-zaruka.php;118;19000
0;1.12. 2021;Pro;2019;8;256;touch bar;False;;https://pc.bazos.cz/inzerat/145193446/macbook-pro-13-2019.php;100;21400
0;14.12. 2021;Pro;2019;8;128;touch bar;False;1.4;https://pc.bazos.cz/inzerat/145457839/apple-macbook-pro-133-2019.php;104;23000
0;9.12. 2021;Pro;2020;{'8', '16'};1;touch bar;False;{2.0, 3.8};https://pc.bazos.cz/inzerat/145118954/apple-macbook-pro-13-2020-touch-bar-1-tb-mwp82cza-silver.php;126;24990
